video,method,Fail_Total,Fail_Div,Fail_Slip,Fail_Lock,Fail_Double,NIS_Mean,NIS_Pass,NIS_InBand,NIS_pval,Lambda_Mean,Lambda_LT1_Frac,Lambda_LowFrac,Coverage95,FreqStd_Mean,Stability_Sec,n_frames,data_file
cohface_25_3,profile1d_linear__robust_ossm_ukf,0.6919315403422983,0.0,0.0032599837000814994,0.6919315403422983,0.22249388753056235,0.09509629860888069,0.0,0.9233903830480847,0.0,1.0599906506139074,0.0,0.0,99.51100244498778,0.27997887303769586,61.35,1227.0,data/cohface_25_3.pkl
cohface_25_3,profile1D quadratic,,,,,,,,,,,,,,,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_quadratic__kfstd,,,,,,,,,,,,,,,33.45,,data/cohface_25_3.pkl
cohface_25_3,profile1d_quadratic__robust_ossm_ekf,0.7286063569682152,0.0,0.0,0.7286063569682152,0.25509372453137735,0.18023079537083608,0.0,0.9519152404237978,2.9121647754099447e-240,1.0544580891186814,0.017114914425427872,0.0,90.79054604726976,0.1511528939783569,61.35,1227.0,data/cohface_25_3.pkl
cohface_25_3,profile1d_quadratic__robust_ossm_ukf,0.8003259983700082,0.0,0.004074979625101874,0.8003259983700082,0.07660961695191525,0.13149272110307977,0.0,0.9307253463732681,2.6306685586053e-311,1.0575123533062762,0.0,0.0,99.51100244498778,0.3261225639861593,61.35,1227.0,data/cohface_25_3.pkl
cohface_25_3,profile1D cubic,,,,,,,,,,,,,,,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_cubic__kfstd,,,,,,,,,,,,,,,61.35,,data/cohface_25_3.pkl
cohface_25_3,profile1d_cubic__robust_ossm_ekf,0.810920945395273,0.0,0.0,0.810920945395273,0.006519967400162999,0.27934391230388855,0.0,0.9421352893235534,7.37291298007783e-150,1.0478753850790419,0.07905460472697637,0.0,78.40260798696006,0.14062024436019455,61.35,1227.0,data/cohface_25_3.pkl
cohface_25_3,profile1d_cubic__robust_ossm_ukf,0.797881010594947,0.0,0.008149959250203748,0.797881010594947,0.09290953545232274,0.12405130332461198,0.0,0.9266503667481663,0.0,1.0576573561137075,0.0,0.0,99.51100244498778,0.3269692465402966,61.35,1227.0,data/cohface_25_3.pkl
cohface_29_0,of_farneback,,,,,,,,,,,,,,,,,data/cohface_29_0.pkl
cohface_29_0,of_farneback__kfstd,,,,,,,,,,,,,,,107.7,,data/cohface_29_0.pkl
cohface_29_0,of_farneback__robust_ossm_ekf,0.5366759517177344,0.0,0.0,0.5366759517177344,0.04735376044568245,0.41765355765262524,0.0,0.9540389972144847,4.1981583920776665e-138,1.0396154540427678,0.12163416898792943,0.0,96.51810584958217,0.19288735543400518,107.7,2154.0,data/cohface_29_0.pkl
cohface_29_0,of_farneback__robust_ossm_ukf,0.46425255338904364,0.00046425255338904364,0.0009285051067780873,0.46425255338904364,0.1053853296193129,18307.637422512304,0.0,0.9215413184772516,0.0,1.0408389328883527,0.10399257195914577,0.002321262766945218,99.21077065923862,0.18154278902444174,107.7,2154.0,data/cohface_29_0.pkl
cohface_29_0,profile1D linear,,,,,,,,,,,,,,,,,data/cohface_29_0.pkl
cohface_29_0,profile1d_linear__kfstd,,,,,,,,,,,,,,,107.7,,data/cohface_29_0.pkl
cohface_29_0,profile1d_linear__robust_ossm_ekf,0.9210770659238626,0.0,0.0,0.9210770659238626,0.003714020427112349,0.23384015839265193,0.0,0.9642525533890436,0.0,1.0516097336584285,0.02181987000928505,0.0,87.88300835654596,0.12370569441867488,107.7,2154.0,data/cohface_29_0.pkl
cohface_29_0,profile1d_linear__robust_ossm_ukf,0.9419684308263695,0.0,0.0032497678737233053,0.9419684308263695,0.05338904363974002,0.11425973885904189,0.0,0.9401114206128134,0.0,1.0590031381925784,0.007428040854224698,0.0,98.74651810584959,0.2185737325647472,107.7,2154.0,data/cohface_29_0.pkl
cohface_29_0,profile1D quadratic,,,,,,,,,,,,,,,,,data/cohface_29_0.pkl
cohface_29_0,profile1d_quadratic__kfstd,,,,,,,,,,,,,,,107.7,,data/cohface_29_0.pkl
cohface_29_0,profile1d_quadratic__robust_ossm_ekf,0.7307335190343547,0.0,0.0,0.7307335190343547,0.0,0.05380961940843836,0.0,0.89322191272052,0.0,1.0628816662485783,0.0,0.0,100.0,0.2699901409243985,107.7,2154.0,data/cohface_29_0.pkl
cohface_29_0,profile1d_quadratic__robust_ossm_ukf,0.6884865366759517,0.00046425255338904364,0.0018570102135561746,0.6884865366759517,0.34958217270194986,307485.193792339,0.0,0.9094707520891365,0.0,1.0573874173454005,0.002785515320334262,0.002321262766945218,99.53574744661096,0.23485544280207063,71.4,2154.0,data/cohface_29_0.pkl
cohface_29_0,profile1D cubic,,,,,,,,,,,,,,,,,data/cohface_29_0.pkl
cohface_29_0,profile1d_cubic__kfstd,,,,,,,,,,,,,,,107.7,,data/cohface_29_0.pkl
cohface_29_0,profile1d_cubic__robust_ossm_ekf,0.7172701949860725,0.0,0.0,0.7172701949860725,0.0,0.05519425508447473,0.0,0.9076137418755803,0.0,1.0626191624165788,0.0,0.0,100.0,0.27326035574585433,107.7,2154.0,data/cohface_29_0.pkl
cohface_29_0,profile1d_cubic__robust_ossm_ukf,0.6847725162488394,0.00046425255338904364,0.003714020427112349,0.6847725162488394,0.09656453110492108,1856.4793425932887,0.0,0.8992571959145775,0.0,1.056915428301228,0.0032497678737233053,0.002321262766945218,99.62859795728876,0.2723733364504994,80.15,2154.0,data/cohface_29_0.pkl
cohface_34_0,of_farneback,,,,,,,,,,,,,,,,,data/cohface_34_0.pkl
cohface_34_0,of_farneback__kfstd,,,,,,,,,,,,,,,61.2,,data/cohface_34_0.pkl
cohface_34_0,of_farneback__robust_ossm_ekf,0.8218954248366013,0.0,0.0,0.8218954248366013,0.00980392156862745,0.04604838587331836,0.0,0.8202614379084967,0.0,1.063535375890029,0.012254901960784314,0.0,99.75490196078431,0.3433753649226597,61.2,1224.0,data/cohface_34_0.pkl
