video,method,CCC,MAE,RMSE,SNR_Time,Latency,DTW_Dist,IE_Err,PPI_MAE,gt_bpm_avg,est_bpm_avg,data_file
cohface_15_2,profile1d_quadratic__robust_ossm_ekf,0.94,0.27,0.33,9.581441933219368,-1625.0,0.2440838006452238,0.6954542944459384,0.046875,,,data/cohface_15_2.pkl
cohface_15_2,profile1D cubic,0.9,0.36,0.46,6.863376245462924,968.75,0.30366427640944227,0.12151853985236538,0.0068749999999999645,,,data/cohface_15_2.pkl
cohface_15_2,profile1d_cubic__kfstd,0.94,0.26,0.33,9.58972562011369,-1625.0,0.24336056452992952,0.5870131098418517,0.021874999999999645,,,data/cohface_15_2.pkl
cohface_15_2,profile1d_cubic__robust_ossm_ekf,0.94,0.27,0.34,9.524335121729825,-1625.0,0.2442970232126845,0.700152876006222,0.046875,,,data/cohface_15_2.pkl
cohface_40_1,of_farneback,0.56,0.72,0.94,0.5516132444568231,437.5,0.548890244541838,0.498770131134885,1.6506410256410255,,,data/cohface_40_1.pkl
cohface_40_1,of_farneback__kfstd,0.6,0.72,0.9,0.9407488493851396,500.0,0.4868443575385738,0.8219710101941188,1.8737179487179487,,,data/cohface_40_1.pkl
cohface_40_1,of_farneback__robust_ossm_ekf,0.6,0.72,0.9,0.9197034500871825,500.0,0.490029901600555,0.839701934618755,1.8814102564102555,,,data/cohface_40_1.pkl
cohface_40_1,DoF,0.69,0.57,0.8,2.0397011810176644,-812.5,0.4356118749493648,0.5375093354307373,3.1188596491228067,,,data/cohface_40_1.pkl
cohface_40_1,dof__kfstd,0.83,0.47,0.59,4.658396108141687,-750.0,0.3611877219489256,0.32292061356490986,0.002777777777778212,,,data/cohface_40_1.pkl
cohface_40_1,dof__robust_ossm_ekf,0.78,0.54,0.67,3.536900710284189,-750.0,0.3976629108781915,0.24126671695249613,0.8537878787878785,,,data/cohface_40_1.pkl
cohface_40_1,profile1D linear,0.33,0.9,1.13,-0.6845780022153287,-10812.5,0.5765162762212751,0.9659344509043383,2.2467948717948714,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_linear__kfstd,0.36,0.97,1.14,-0.8317966781258069,-10812.5,0.5521132550420265,0.5498595198922683,1.9198717948717947,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_linear__robust_ossm_ekf,0.38,0.94,1.13,-0.6813193764315318,-10718.75,0.574040186014832,0.8960899079151118,1.8916666666666666,,,data/cohface_40_1.pkl
cohface_40_1,profile1D quadratic,0.58,0.69,0.92,0.7767790018196981,625.0,0.4763937489575491,0.41951851986961763,2.670098039215686,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_quadratic__kfstd,0.61,0.68,0.89,1.083407759853661,-1312.5,0.48610854994693886,0.54140551982493,2.474999999999999,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_quadratic__robust_ossm_ekf,0.61,0.67,0.89,1.148325314216998,-1375.0,0.4788520776009683,0.9371837405545599,1.9006410256410255,,,data/cohface_40_1.pkl
cohface_40_1,profile1D cubic,0.57,0.7,0.93,0.6509871067384347,625.0,0.4783709463281998,0.41947293381759787,2.667156862745098,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_cubic__kfstd,0.61,0.68,0.89,1.1181504689523836,-1312.5,0.47234986627686304,0.5767833647017041,2.478333333333333,,,data/cohface_40_1.pkl
cohface_40_1,profile1d_cubic__robust_ossm_ekf,0.61,0.67,0.89,1.0790223453985182,-1343.75,0.47690133994430683,0.9039753041388424,1.9006410256410255,,,data/cohface_40_1.pkl
cohface_25_3,of_farneback,0.67,0.67,0.81,1.825851909343731,531.25,0.578699937707515,0.02733442289137522,0.8082792207792204,,,data/cohface_25_3.pkl
cohface_25_3,of_farneback__kfstd,0.73,0.59,0.74,2.684121058952755,-1281.25,0.4923055324557376,0.9588179011872392,0.5415209790209774,,,data/cohface_25_3.pkl
