video,method,family,q_obs_mean,q_obs_median,q_dyn_raw_mean,q_dyn_raw_median,q_dyn_mean,q_dyn_median,q_osc_mean,q_osc_median,obs_osc_support_mean,obs_osc_support_median,obs_full_support_mean,obs_full_support_median,obs_nonosc_need_mean,obs_nonosc_need_median,obs_nonosc_need_eff_mean,obs_nonosc_need_eff_median,residual_prior_mean,residual_prior_median,aper_drive_mean,aper_drive_median,helper_trust_mean,helper_trust_median,helper_bias_conf_mean,helper_bias_conf_median,pi_mean,pi_median,lambda_mean,lambda_median,lambda_lt095_frac,nu_mean,nu_median,R_mean,R_median,helper_mismatch_mean,helper_mismatch_median,freq_rescue_active_frac,output_rate_blend_active_frac,obs_fit_corr,obs_fit_rmse,obs_lag_sec,obs_g_h1,obs_g_h2,obs_g_b,obs_g_r,Qosc_scale_mean,Qaper_scale_mean,baseline_energy_ratio,residual_energy_ratio,max_abs_zfull_minus_zosc,max_abs_zosc_causal_minus_smoothed
cohface_36_3,profile1d_linear__parh_ossm,P1D_lin,0.9319043550908102,0.9565670287343,0.543881630885607,0.5321736675787201,0.543881630885607,0.5321736675787201,0.7002679253341646,0.7004841099418856,0.9460313430311384,0.9687816302813953,0.9967457088621717,0.9981829585087313,0.049644210784556206,0.02771356762727073,,,,,,,1.0,1.0,0.0,0.0,0.9319043550908102,0.9565670287343,1.004654124233481,1.0,0.0,177.30423011518477,200.0,0.05497758480975212,0.050072004248683834,0.058295644844278384,0.04255685729512057,0.0024489795918367346,0.0,,,0.0,1.0,1.0,1.0,1.0,1.2719408154428036,2.1989282986633416,0.046726272695204345,0.01657593720373635,0.5602437706172174,0.6570087791814607
cohface_36_3,profile1d_quadratic__parh_ossm,P1D_quad,0.9160196534633412,0.9477801102635313,0.6165092715843338,0.7571308519258738,0.6165092715843338,0.7571308519258738,0.7119841452047111,0.7148133193866124,0.9938720507878294,0.9981580524643202,0.9939729866257214,0.9981961040911085,0.004919502123728291,0.0016981469585972686,,,,,,,1.0,1.0,0.0,0.0,0.9160196534633412,0.9477801102635313,1.012030666829104,1.0,0.007346938775510204,148.80183163548406,200.0,0.05060353609810854,0.0462032286113165,0.06053543162015246,0.05729357408310633,0.0,0.0,0.9865947268299304,0.22837457490755636,0.0,1.0376302211271127,1.0555469337697279,0.0,0.0,1.308254635792167,2.1520634191811556,0.0,0.0,0.0,0.22946113986754257
cohface_36_3,profile1d_cubic__parh_ossm,P1D_cub,0.9154933849952962,0.9494173907787814,0.6087442803487059,0.7715177675109581,0.6087442803487059,0.7715177675109581,0.714389529255842,0.7137116031685364,0.994353110565497,0.9981119173221477,0.9944361631972298,0.9981478618284629,0.004534728831792046,0.0017356006536664026,,,,,,,1.0,1.0,0.0,0.0,0.9154933849952962,0.9494173907787814,1.010770939510299,1.0,0.0032653061224489797,153.10308507390562,200.0,0.05084974843807216,0.04642803118258762,0.05906342549236305,0.060176709593384656,0.0,0.0,0.9858478734443914,0.23654054904154206,0.0,1.0346798431601105,1.0670952326522913,0.0,0.0,1.3043721401743529,2.142441882976632,0.0,0.0,0.0,0.2417469983774918
cohface_37_0,of_farneback__parh_ossm,OF,0.918280701785999,0.9681887214698922,0.5668279554114427,0.5789455649890449,0.5668279554114427,0.5789455649890449,0.8511330141849243,0.8889371450093311,0.9139423420476523,0.9576965208747558,0.9585680546999523,0.9927444469563599,0.06778014576130344,0.03902699056758585,,,,,,,1.0,1.0,0.0,0.0,0.918280701785999,0.9681887214698922,1.0219072545992036,1.0,0.06368899917287014,125.34745829964487,200.0,0.15650476323239948,0.057423374082075006,0.06474127005339107,0.04430122546094992,0.0033085194375516956,0.22249793217535152,,,0.0,1.0,1.0,1.0,1.0,1.2834139777057214,1.595467943260303,0.01577106640300757,0.008478965102657806,0.46439710636830633,1.686082494941667
cohface_37_0,of_disp_bridge__parh_ossm,OF_bridge,0.934065362732654,0.9598592270994724,0.7013897046601097,0.809580692958432,0.7013897046601097,0.809580692958432,0.6995968790761959,0.7139872925828847,0.9209246559040922,0.9536291603995742,0.9935352283106862,0.9982818384346087,0.06652806380976338,0.038562834039450156,,,,,,,1.0,1.0,0.0,0.0,0.934065362732654,0.9598592270994724,1.0030943671056265,1.0,0.0,186.01835508691846,200.0,0.11572712024210467,0.050320889101429025,0.07117153943510263,0.06304357403927587,0.0016542597187758478,0.07361455748552523,,,0.0,1.0,1.0,1.0,1.0,1.3506948523300548,2.2016124836952162,0.022432344361733667,0.043816199230890494,0.5937081845910153,1.8588556608690514
cohface_37_0,dof__parh_ossm,DoF,0.9318648611571702,0.9617674056590837,0.6334173332026384,0.7512101236572053,0.6334173332026384,0.7512101236572053,0.8697026163111194,0.906371274037295,0.9599755897848373,0.9901892116479318,0.9857820729678571,0.9962271625351483,0.03217709081343491,0.008755865225411275,,,,,,,1.0,1.0,0.0,0.0,0.9318648611571702,0.9617674056590837,1.0027127560858426,1.0,0.0,186.52681605434037,200.0,0.0784679194390796,0.05350862564291834,0.0718871862274766,0.05768453264750853,0.0,0.0,,,0.0,1.0,1.0,1.0,1.0,1.3167086666013192,1.5211895347555222,0.0008658533805164976,0.009641234460969693,0.5157320298426717,0.8235809492869086
cohface_37_0,profile1d_linear__parh_ossm,P1D_lin,0.9252366931568958,0.9742938466141582,0.5698578455097366,0.5367343668574023,0.5698578455097366,0.5367343668574023,0.8141416385959725,0.8458984874520787,0.9250193576887346,0.9806828214805385,0.9698368447584487,0.9988484880833791,0.05710168477392241,0.016858502733910097,,,,,,,1.0,1.0,0.0,0.0,0.9252366931568958,0.9742938466141582,1.0173042457892585,1.0,0.0,166.1345745846307,200.0,0.44026527060622317,0.04668589488447632,0.0697385137149262,0.04137262880383348,0.005789909015715467,0.0,,,0.0,1.0,1.0,1.0,1.0,1.2849289227548684,1.7434334456161098,0.009775049943763735,0.023697093757757002,0.793587246547402,2.3457835077221945
cohface_37_0,profile1d_quadratic__parh_ossm,P1D_quad,0.9316195994968727,0.956531273414742,0.7254698735241274,0.9159051124028346,0.7254698735241274,0.9159051124028346,0.6909531376049177,0.7201435506480893,0.9712287423283396,0.9955811174844629,0.979217573415108,0.9957403539542748,0.01787745615690254,0.003926319743991713,,,,,,,1.0,1.0,0.0,0.0,0.9316195994968727,0.956531273414742,1.0065738448616681,1.0,0.007444168734491315,172.72144993715733,200.0,0.13352779547006274,0.050546732097600224,0.07928414924188247,0.07832710721183268,0.0,0.0,0.9179569559366711,0.40507471375385784,0.0,0.9655299319585284,1.1134805550878413,0.0,0.0,1.3627349367620636,2.236187449580329,0.0,0.0,0.0,1.2899532400024663
cohface_37_0,profile1d_cubic__parh_ossm,P1D_cub,0.9313952825463769,0.9583416835737385,0.7856019110752391,0.9784690699742536,0.7856019110752391,0.9784690699742536,0.6641410602469735,0.6959397463895205,0.9682377320883687,0.9943622579789926,0.9763918348938688,0.9946177866935301,0.020416863567297373,0.00505416974776407,,,,,,,1.0,1.0,0.0,0.0,0.9313952825463769,0.9583416835737385,1.0042172932208018,1.0,0.007444168734491315,175.88340822854113,200.0,0.13932245291042467,0.050453393875094565,0.09152839272821292,0.09703123547790019,0.0,0.0,0.9190478498157002,0.4083108589005262,0.0,0.9630474065557278,1.1233284802201058,0.0,0.0,1.3928009555376195,2.343435759012106,0.0,0.0,0.0,1.310516334580818
cohface_37_1,of_farneback__parh_ossm,OF,0.9247300089261945,0.9750200536095458,0.5892142572200147,0.6628525771938193,0.5892142572200147,0.6628525771938193,0.8694175958664757,0.8800609049617623,0.9365780839032197,0.9751940729245886,0.9799718573740175,0.9968949131863896,0.04931938586898677,0.023082996611513806,,,,,,,1.0,1.0,0.0,0.0,0.9247300089261945,0.9750200536095458,1.0292585127764156,1.0,0.03468208092485549,130.8487346816941,200.0,0.08916733862772211,0.0550174265343462,0.057899123811632286,0.049937479903477536,0.006606110652353427,0.32535094962840627,,,0.0,1.0,1.0,1.0,1.0,1.2946071286100074,1.5223296165340972,0.010617970513865184,0.013692231731640117,0.3796244297572138,0.9685682785686933
