gt_freq_hz,gt_rr_bpm,snr_of_db,snr_OF_db,freq_mae_OF_base,freq_mae_OF_kfstd,freq_mae_OF_qrobf,snr_P1D-Cubic_db,freq_mae_P1D-Cubic_base,freq_mae_P1D-Cubic_kfstd,freq_mae_P1D-Cubic_qrobf,snr_P1D-Linear_db,freq_mae_P1D-Linear_base,freq_mae_P1D-Linear_kfstd,freq_mae_P1D-Linear_qrobf,snr_P1D-Quad_db,freq_mae_P1D-Quad_base,freq_mae_P1D-Quad_kfstd,freq_mae_P1D-Quad_qrobf,snr_DoF_db,freq_mae_DoF_base,freq_mae_DoF_kfstd,freq_mae_DoF_qrobf,trial_id,pkl_path,tier,tier_order,freq_mae_OF_base_eval,freq_mae_OF_kfstd_eval,freq_mae_OF_qrobf_eval,freq_mae_P1D-Cubic_base_eval,freq_mae_P1D-Cubic_kfstd_eval,freq_mae_P1D-Cubic_qrobf_eval,freq_mae_P1D-Linear_base_eval,freq_mae_P1D-Linear_kfstd_eval,freq_mae_P1D-Linear_qrobf_eval,freq_mae_P1D-Quad_base_eval,freq_mae_P1D-Quad_kfstd_eval,freq_mae_P1D-Quad_qrobf_eval,freq_mae_DoF_base_eval,freq_mae_DoF_kfstd_eval,freq_mae_DoF_qrobf_eval
0.09766022380467955,5.859613428280773,-5.727618027490879,-5.727618027490879,6.1875,5.125,6.6875,-1.2583272349672265,0.0,6.0,6.0,-4.305808562829939,0.9375,3.375,6.0,-1.2040130063117618,0.0,6.0,6.0,-2.6491173738240765,3.375,6.0,6.0,cohface_26_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_26_3.pkl,Very Poor,0,4.53,4.92,8.21,6.01,6.01,6.0,1.74,5.16,6.38,6.01,6.01,5.93,4.72,6.04,6.06
0.17512437810945272,10.507462686567163,-3.5703869034141205,-3.5703869034141205,2.3636363636363638,2.3636363636363638,2.3636363636363638,-4.06650785573332,6.0,2.4242424242424243,2.484848484848485,-3.4746581354222177,6.666666666666667,5.2727272727272725,4.909090909090909,-3.9853042572244513,5.696969696969697,2.484848484848485,2.484848484848485,-6.612989616629821,6.363636363636363,1.878787878787879,4.303030303030303,cohface_28_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_28_0.pkl,Very Poor,0,2.33,2.22,2.25,6.52,2.79,2.49,5.06,4.61,2.96,6.42,2.86,2.65,2.13,2.01,3.43
0.20925553319919518,12.55533199195171,-3.8222084932603986,-3.8222084932603986,1.0303030303030303,0.24242424242424243,0.24242424242424243,-2.589830203742986,5.575757575757576,1.0303030303030303,1.393939393939394,-5.983480761397894,5.333333333333333,5.03030303030303,5.03030303030303,-2.538747827369136,5.212121212121212,0.7272727272727273,0.7272727272727273,2.6244195017224436,0.36363636363636365,0.24242424242424243,0.30303030303030304,cohface_28_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_28_2.pkl,Very Poor,0,0.29,0.27,0.25,1.7,1.27,1.25,5.11,4.24,5.03,1.62,1.3,0.33,0.3,0.25,0.29
0.14891416752843847,8.934850051706308,-3.684351130171118,-3.684351130171118,2.967741935483871,2.193548387096774,3.6774193548387095,-1.0482965770173625,0.967741935483871,0.7096774193548387,5.161290322580645,-3.318061341488221,0.8387096774193549,0.6451612903225806,0.8387096774193549,-1.0537904514763499,0.7096774193548387,0.7741935483870968,3.6129032258064515,-4.153213795416903,3.4193548387096775,1.935483870967742,8.064516129032258,cohface_2_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_2_0.pkl,Very Poor,0,0.37,0.3,3.67,0.24,0.23,0.94,0.35,0.27,0.36,0.24,0.23,0.78,3.66,3.43,6.53
0.14891416752843847,8.934850051706308,-5.154725589990065,-5.154725589990065,3.7419354838709675,3.225806451612903,4.580645161290323,-4.0835846287689845,3.4193548387096775,2.0,2.5161290322580645,-4.263966394768075,2.903225806451613,1.2258064516129032,4.129032258064516,-3.9031355110836707,3.4193548387096775,1.935483870967742,3.225806451612903,1.6971327818041195,0.45161290322580644,0.5161290322580645,0.3225806451612903,cohface_2_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_2_2.pkl,Very Poor,0,0.28,0.26,1.13,0.42,0.7,0.34,1.32,0.42,3.76,0.4,0.68,0.84,0.33,0.26,0.32
0.0962888665997994,5.777331995987964,-5.89855838006756,-5.89855838006756,11.272727272727273,8.848484848484848,10.303030303030303,-6.280141158668751,8.848484848484848,5.333333333333333,10.424242424242424,-7.432271276944265,14.06060606060606,11.454545454545455,12.666666666666666,-6.3142272391496,8.848484848484848,5.333333333333333,12.121212121212121,-3.552863244512423,4.848484848484849,5.03030303030303,5.090909090909091,cohface_31_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_31_3.pkl,Very Poor,0,11.0,9.41,11.12,10.25,4.48,11.42,10.9,9.6,12.16,10.25,4.49,11.34,4.67,4.66,4.75
0.14784394250513347,8.870636550308008,-4.735921456006487,-4.735921456006487,12.838709677419354,8.32258064516129,10.0,-4.474409568023041,10.258064516129032,0.967741935483871,8.838709677419354,-4.2177777309793125,11.935483870967742,1.6774193548387097,10.064516129032258,-4.466692036501755,10.258064516129032,0.967741935483871,9.741935483870968,-4.460819737802777,7.032258064516129,8.774193548387096,8.774193548387096,cohface_32_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_32_1.pkl,Very Poor,0,9.24,8.25,9.53,4.33,1.7,9.1,5.45,2.27,10.06,4.32,1.68,8.4,9.13,9.11,9.03
0.08213552361396304,4.9281314168377826,-10.715246901320349,-10.715246901320349,0.1935483870967742,0.12903225806451613,0.1935483870967742,-10.246897769901324,0.06451612903225806,0.1935483870967742,0.1935483870967742,-8.965920333092658,0.9032258064516129,1.1612903225806452,0.8387096774193549,-9.837001714895372,0.0,0.1935483870967742,0.06451612903225806,-5.992920502670707,6.580645161290323,1.8064516129032258,1.6774193548387097,cohface_33_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_33_0.pkl,Very Poor,0,0.18,0.15,0.17,0.26,0.26,0.24,0.81,0.66,0.78,0.25,0.25,0.28,1.11,1.76,2.62
0.19413549039433772,11.648129423660263,-8.790533127399009,-8.790533127399009,3.3125,2.125,2.4375,-4.889414499805121,2.5625,2.1875,1.8125,-5.7941431274307025,10.375,1.3125,5.0,-4.573793576275445,2.5625,0.8125,1.3125,-2.601127030035718,2.4375,0.6875,0.625,cohface_35_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_35_0.pkl,Very Poor,0,1.35,1.24,1.12,0.85,1.54,1.12,3.18,1.29,3.06,0.79,0.31,2.86,2.07,0.6,0.63
0.1951219512195122,11.707317073170731,-3.350123127459879,-3.350123127459879,3.875,0.75,1.625,1.2039934316522496,0.5,0.25,0.4375,-3.008276497715969,7.875,3.1875,5.0625,1.4939944469012119,0.5,0.25,0.5,1.6102993647008956,0.3125,0.1875,0.1875,cohface_35_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_35_3.pkl,Very Poor,0,0.58,0.51,1.65,0.26,0.19,0.22,3.88,3.47,5.54,0.26,0.2,0.43,0.97,0.31,0.35
0.0825593395252838,4.953560371517028,-4.7323170265259265,-4.7323170265259265,1.1612903225806452,1.3548387096774193,2.2580645161290325,2.2712042951780766,0.7096774193548387,0.8387096774193549,3.6129032258064515,-7.501581014363544,0.5161290322580645,0.7741935483870968,0.8387096774193549,2.367764146436353,0.7096774193548387,0.8387096774193549,1.2258064516129032,-4.754765664788527,3.7419354838709675,4.193548387096774,4.645161290322581,cohface_37_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_37_3.pkl,Very Poor,0,2.9,3.96,4.25,0.12,1.46,5.85,0.2,1.3,2.41,0.13,1.27,1.92,5.02,5.6,6.65
