schema_version,method,trial,n_frames,missing_frame_log,missing_reason,frame_log_filename_used,frame_log_resolution_mode,frame_log_suffix_used,welch_df_hz,q_vis_mean,q_vis_std,q_vis_nan_rate,q_drift_mean,q_cons_mean,q_out_mean,q_harm_mean,q_burst_rate,alpha_R_mean,alpha_Q_mean,g_t_mean,g_z_mean,w_h_mean,g_z_eff_mean,lambda_mean,lambda_lt1_frac,lambda_low_frac,qx_base_mean,qf_base_mean,rv_base_mean,qx_used_mean,qf_used_mean,rv_scaled_mean,R_post_mean,freq_low_clip_rate,freq_high_clip_rate,z_low_clip_rate,z_high_clip_rate,invalid_row_rate
method_quality.v1,of_farneback__robust_ossm_ekf,38_3,1221,False,,38_3_1.npz,manifest,1,0.25,0.6002291927030775,0.002552824486578727,0.0,0.1533523604026435,0.36063654630196024,0.24957567735041225,0.4649172414394231,0.012285012285012284,1.0,1.2913694847650226,1.0,1.0,1.0,1.0,1.0700462927027903,0.02457002457002457,0.0,0.006284417173077864,0.0036356902307695537,0.0862643137813589,0.008115504566846022,0.004695019420074104,0.0862643137813589,0.0806580517302778,0.0,0.0,0.0,0.0,0.0
method_quality.v1,dof__robust_ossm_ekf,38_3,1221,False,,38_3_1.npz,manifest,1,0.25,0.6002291927030775,0.002552824486578727,0.0,0.1533523604026435,0.2758368262722222,0.2783960034506032,0.47010415886292733,0.012285012285012284,1.7686980486881885,1.2913694847650226,0.4984979608693826,0.41321500096105973,0.5289964030568174,0.21273741226132156,1.0747642704658287,0.012285012285012284,0.0,0.0042379125831642425,0.001580820642000781,1.5264911323216896,0.005472710989000012,0.0020414235379664606,2.6999018870771962,2.5138299124225956,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_linear__robust_ossm_ekf,38_3,1221,False,,38_3_1.npz,manifest,1,0.25,0.6002291927030775,0.002552824486578727,0.0,0.1533523604026435,0.25157053032146803,0.33947374123138746,0.33708988537305307,0.005733005733005733,1.0,1.2913694847650226,1.0,1.0,1.0,1.0,1.07397023846346,0.0,0.0,0.004561317479841249,0.004082315549938237,2.2246946649814703,0.005890346203792284,0.005271777728371981,2.2246946649814703,2.0718570147393924,0.0,0.012285012285012284,0.0,0.012285012285012284,0.0
method_quality.v1,profile1d_quadratic__robust_ossm_ekf,38_3,1221,False,,38_3_1.npz,manifest,1,0.25,0.6002291927030775,0.002552824486578727,0.0,0.1533523604026435,0.17898251201166782,0.29477515102954216,0.30437570507267137,0.02293202293202293,1.0,1.2913694847650226,1.0,1.0,1.0,1.0,1.0658992955754394,0.042588042588042586,0.0,0.004390511655210638,0.0038487706375284303,2.1546311912585288,0.00566977277404419,0.004970184955163836,2.1546311912585288,2.0233778819732464,0.0,0.001638001638001638,0.0,0.001638001638001638,0.0
method_quality.v1,profile1d_cubic__robust_ossm_ekf,38_3,1221,False,,38_3_1.npz,manifest,1,0.25,0.6002291927030775,0.002552824486578727,0.0,0.1533523604026435,0.21095870433251204,0.2889330424634384,0.3143536115385646,0.0171990171990172,1.0,1.2913694847650226,1.0,1.0,1.0,1.0,1.065373088176224,0.04176904176904177,0.0,0.004383071236715717,0.003838627963761732,2.15158838912852,0.0056601644446459655,0.004957087015767595,2.15158838912852,2.021379272666003,0.025389025389025387,0.004095004095004095,0.025389025389025387,0.004095004095004095,0.0
method_quality.v1,of_farneback__robust_ossm_ekf,39_0,1223,False,,39_0_1.npz,manifest,1,0.25,0.8471167341003712,0.011542339545669118,0.0,0.2900589322040011,0.36315584113612864,0.3605378088755364,0.4621588996864463,0.0024529844644317253,1.0,1.551111971187602,1.0,1.0,1.0,1.0,1.072466209826436,0.0024529844644317253,0.0,0.004779115506698595,0.003692693432782469,0.05596792691534226,0.007412943274128493,0.005727780989514728,0.05596792691534226,0.052194323075124664,0.0,0.0,0.0,0.0,0.0
method_quality.v1,dof__robust_ossm_ekf,39_0,1223,False,,39_0_1.npz,manifest,1,0.25,0.8471167341003712,0.011542339545669118,0.0,0.2900589322040011,0.19440555347111424,0.31212335863015944,0.42797912514631936,0.005723630417007359,1.5630836784426099,1.551111971187602,0.6532932516453515,0.6078106371445374,0.5250555205270201,0.31091946125290193,1.070662828835993,0.014717906786590351,0.0,0.003312004922158256,0.0012487832552006946,1.557622477798241,0.005137290483391932,0.00193700265656042,2.4346942722217673,2.277987529972624,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_linear__robust_ossm_ekf,39_0,1223,False,,39_0_1.npz,manifest,1,0.25,0.8471167341003712,0.011542339545669118,0.0,0.2900589322040011,0.49066427971406495,0.3701087434865422,0.3701160525554109,0.005723630417007359,1.0,1.551111971187602,1.0,1.0,1.0,1.0,1.0748437372971906,0.007358953393295176,0.0,0.0035355735908831503,0.003190283701261644,2.1023151285672257,0.005484070521833592,0.0049484872405116285,2.1023151285672257,1.9566048404555503,0.10302534750613246,0.0,0.10302534750613246,0.0,0.0
method_quality.v1,profile1d_quadratic__robust_ossm_ekf,39_0,1223,False,,39_0_1.npz,manifest,1,0.25,0.8471167341003712,0.011542339545669118,0.0,0.2900589322040011,0.42199139993122736,0.3600151819382605,0.4306592425613236,0.001635322976287817,1.0,1.551111971187602,1.0,1.0,1.0,1.0,1.0764914831942596,0.0,0.0,0.0036152663669980914,0.0033041305242829883,2.1416517791936616,0.0056076829408826506,0.005125076410581712,2.1416517791936616,1.9895987264992796,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_cubic__robust_ossm_ekf,39_0,1223,False,,39_0_1.npz,manifest,1,0.25,0.8471167341003712,0.011542339545669118,0.0,0.2900589322040011,0.3923600837780077,0.36134443168235464,0.4317424184821301,0.0,1.0,1.551111971187602,1.0,1.0,1.0,1.0,1.0760924657247117,0.0,0.0,0.0036248072238099956,0.003317760319728567,2.146361181593516,0.005622481878098984,0.0051462177494621866,2.146361181593516,1.994729040880507,0.0,0.0,0.0,0.0,0.0
