dataset,family,stage,trial_count,corr_wave_best_delta_mean,corr_wave_best_delta_median,ccc_wave_best_z_delta_mean,ccc_wave_best_z_delta_median,corr_deriv_best_delta_mean,corr_deriv_best_delta_median,peak_error_hz_delta_mean,peak_error_hz_delta_median,lowfreq_energy_ratio_delta_mean,lowfreq_energy_ratio_delta_median,highfreq_energy_ratio_delta_mean,highfreq_energy_ratio_delta_median
COHFACE,P1D_lin,detrend_only,160,-0.0007542300252232415,-0.00012576891262489065,-0.0007542300252232411,-0.00012576891262489065,5.500374461453461e-16,0.0,0.0,0.0,6.1030169227980374e-05,8.174626769002265e-07,-0.00012188477455865841,-2.0790928322855784e-06
COHFACE,P1D_lin,helper_preprocess,160,0.28112999816375256,0.28320353380228747,0.28112999816375256,0.28320353380228747,0.502641578873158,0.5019745965457787,-0.006666666666666668,0.0,0.026611760192790372,0.017208207239998552,-0.7468506208690012,-0.8376818442851046
COHFACE,P1D_lin,robust_zscore_only,160,0.11996306773484126,0.009807581026954726,0.11996306773484126,0.009807581026954781,0.01719840057630337,0.003088781811543456,-0.009166666666666667,0.0,-0.006070357414908137,3.650291874324196e-15,-0.09369057895934566,-2.681188604469753e-14
COHFACE,P1D_lin,sign_align_only,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COHFACE,P1D_quad,bandpass_only,160,-0.1822805907863774,-0.19071473953164692,-0.1822805907863774,-0.19071473953164686,0.11051375887883914,0.11392531573514536,-0.09708333333333329,-0.0666666666666666,0.5309062524666409,0.5367658455493114,-0.6527111420902917,-0.6569004087452748
COHFACE,P1D_quad,current_preprocess,160,0.2686082858885601,0.2616153492041688,0.2686082858885601,0.2616153492041688,0.4379161029816926,0.461902941555672,-0.0029166666666666664,0.0,0.019659078742841746,0.00740376456440895,-0.5244044310985687,-0.5327543733289305
COHFACE,P1D_quad,detrend_only,160,-0.00035232502051764966,-0.00011320631648970708,-0.0003523250205176451,-0.00011320631648970708,-8.854679142689115e-17,-4.163336342344337e-17,0.0,0.0,-1.4936790011861248e-05,-1.0999215885006738e-07,2.0573706508042466e-05,3.322781863546176e-08
COHFACE,P1D_quad,helper_preprocess,160,0.3142459506467475,0.30827974892804666,0.3142459506467475,0.30827974892804666,0.6279610967882263,0.6612750223244485,-0.0025000000000000022,0.0,0.012117710575544366,0.004864591496553349,-0.6433243889496689,-0.6511079266300898
COHFACE,P1D_quad,robust_zscore_only,160,0.039440124746728804,0.022735069010011683,0.039440124746728804,0.022735069010011683,0.006133945274067837,0.004302707543405896,-0.004999999999999999,0.0,0.0015083576439105227,1.9627782374999998e-05,-0.03621825109426544,-0.017179297704806223
COHFACE,P1D_quad,sign_align_only,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
