dataset,video,subject,trial,family,stage,video_path,cache_path,n_samples,duration_sec,fs_obs,fs_gt,stage_mean,stage_std,stage_median,stage_mad,stage_sigma_hat,stage_clipped_frac,scale_ratio_to_gt,corr_wave_best,ccc_wave_best_z,lag_wave_sec,sign_wave_best,corr_deriv_best,ccc_deriv_best_z,lag_deriv_sec,sign_deriv_best,peak_hz,gt_peak_hz,peak_error_hz,peak_power,peak_sharpness,harmonic_ratio,lowfreq_energy_ratio,band_energy_ratio,highfreq_energy_ratio,vs_saved_base_rmse,vs_saved_base_corr,roi_snr_db_mean,valid_ratio_mean,center_disp_mean,roi_mean_mean,roi_std_mean,center_disp_std
MAHNOB,mahnob_3550,MAHNOB,3550,P1D_lin,detrend_only,dataset/MAHNOB/3550/P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_40.avi,dataset/MAHNOB/3550/obs_p1d_linear.npy,6966,114.1964244,61.00015860041236,256.0,1.1537082604539828e-10,38298.96155026333,-44.1320347111614,47.30485272218357,70.13417464590935,0.0,0.0444199336919836,0.0082130808395023,0.0082130808395023,1.3442588,-1.0,0.0189937171225572,0.0189937171225572,2.6885176,1.0,0.4666678800031547,0.1333336800009013,0.3333342000022534,10247248.770331038,1.1324430009992932,0.0,0.0001478132760376,0.0018935760733955,0.9970716374096932,448365.5034129781,0.9999991593233948,8.253530611279398,1.0,0.0008546588651385,57.137548848821936,22.09779604247504,0.000565758963154
MAHNOB,mahnob_3550,MAHNOB,3550,P1D_lin,helper_preprocess,dataset/MAHNOB/3550/P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_40.avi,dataset/MAHNOB/3550/obs_p1d_linear.npy,6966,114.1964244,61.00015860041236,256.0,-2.1420323644792002e-17,1.0,0.0188512195231465,0.4512001420047832,0.6689493305362916,0.0,0.0004236833905259,0.0991460098826303,0.0991460098826303,2.8360582,1.0,0.1048646887287504,0.1048646887287504,1.4917994,-1.0,0.3333342000022533,0.1333336800009013,0.200000520001352,2.825544383994452,1.44887328794736,0.0,0.0353142140183963,0.7544225140634828,0.0474231896428221,449998.2559070237,0.0628609348769004,8.253530611279398,1.0,0.0008546588651385,57.137548848821936,22.09779604247504,0.000565758963154
MAHNOB,mahnob_3550,MAHNOB,3550,P1D_lin,raw,dataset/MAHNOB/3550/P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_40.avi,dataset/MAHNOB/3550/obs_p1d_linear.npy,6966,114.1964244,61.00015860041236,256.0,448365.4921157228,38298.993747276494,448351.15625,61.0,90.4386,0.0,0.0572798729788737,0.0080226264989061,0.0080226264989061,1.3442588,-1.0,0.0189937171225573,0.0189937171225573,2.6885176,1.0,0.4666678800031547,0.1333336800009013,0.3333342000022534,10247304.29131784,1.1324549982105705,0.0,0.000147842760443,0.001893581418753,0.9970715785934088,0.0094486492126037,0.999999999999994,8.253530611279398,1.0,0.0008546588651385,57.137548848821936,22.09779604247504,0.000565758963154
MAHNOB,mahnob_3550,MAHNOB,3550,P1D_lin,robust_zscore_only,dataset/MAHNOB/3550/P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_40.avi,dataset/MAHNOB/3550/obs_p1d_linear.npy,6966,114.1964244,61.00015860041236,256.0,-0.2878451768914469,1.5132139415460704,0.0,0.6744907594765952,1.0,0.0868504163077806,0.0006333564758728,0.0180721547588212,0.0180721547588212,-2.868845,-1.0,0.0211058093478018,0.0211058093478018,1.4917994,-1.0,0.2666673600018027,0.1333336800009013,0.1333336800009013,0.0800270310492334,1.6454929633121744,0.2891263572574503,0.0007588457575025,0.0079521014220489,0.988480631887082,449998.4641572333,0.6514721757584365,8.253530611279398,1.0,0.0008546588651385,57.137548848821936,22.09779604247504,0.000565758963154
MAHNOB,mahnob_3550,MAHNOB,3550,P1D_lin,sign_align_only,dataset/MAHNOB/3550/P28-Rec1-2009.09.02.18.36.41_C1 trigger _C_Section_40.avi,dataset/MAHNOB/3550/obs_p1d_linear.npy,6966,114.1964244,61.00015860041236,256.0,-448365.4921157228,38298.993747276494,-448351.15625,61.0,90.4386,0.0,0.0572798729788737,0.0080226264989061,0.0080226264989061,1.3442588,1.0,0.0189937171225573,0.0189937171225573,2.6885176,-1.0,0.4666678800031547,0.1333336800009013,0.3333342000022534,10247304.29131784,1.1324549982105705,0.0,0.000147842760443,0.001893581418753,0.9970715785934088,899996.5139661512,-0.999999999999994,8.253530611279398,1.0,0.0008546588651385,57.137548848821936,22.09779604247504,0.000565758963154
MAHNOB,mahnob_36,MAHNOB,36,P1D_lin,bandpass_only,dataset/MAHNOB/36/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_36.avi,dataset/MAHNOB/36/obs_p1d_linear.npy,7572,124.1311475409836,61.0,256.0,7478.957824367506,38792.8664572453,45.34203505565067,486.921515805795,721.9098393336717,0.0,0.3762925875476566,0.176992825421076,0.176992825421076,3.0,1.0,0.0786646382413564,0.0786646382413564,1.3770491803278688,-1.0,0.1333333333333333,0.1333333333333333,0.0,220869896.9758724,215.8211314799918,0.0628921899723478,0.5319656029519838,0.0650733043514917,0.0002999332240987,485219.35910442943,0.0007455832631959,17.154997335625627,1.0,0.0016612483145307,83.1273117911685,11.544124031797294,0.0038585255626287
MAHNOB,mahnob_36,MAHNOB,36,P1D_lin,current_preprocess,dataset/MAHNOB/36/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_36.avi,dataset/MAHNOB/36/obs_p1d_linear.npy,7572,124.1311475409836,61.0,256.0,-0.0191093305332158,1.0675653594735754,3.2657849948630746e-14,0.6744907594765952,1.0,0.0,0.0005212459604304,0.0589801574899698,0.0589801574899698,-0.4590163934426229,-1.0,0.0734557858089857,0.0734557858089857,0.3442622950819672,1.0,0.4666666666666667,0.1333333333333333,0.3333333333333333,1.19420824366777,1.493129071327751,0.0,0.0037927000533164,0.2281784654193785,0.6673271166662438,491143.9139148295,0.1722784082122467,17.154997335625627,1.0,0.0016612483145307,83.1273117911685,11.544124031797294,0.0038585255626287
MAHNOB,mahnob_36,MAHNOB,36,P1D_lin,detrend_only,dataset/MAHNOB/36/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_36.avi,dataset/MAHNOB/36/obs_p1d_linear.npy,7572,124.1311475409836,61.0,256.0,-1.8862910505740403e-10,10848.335063622742,22.489904165442567,54.6241695858771,80.98579382802139,0.0,0.0422135178851077,0.0090587569016301,0.0090587569016301,-0.4754098360655737,-1.0,0.0172972260743704,0.0172972260743704,-0.6557377049180327,1.0,0.4666666666666667,0.1333333333333333,0.3333333333333333,1049774.125770994,1.6291154606374647,0.0,3.270068697331146e-05,0.0017811280607868,0.9973306364388224,491024.0758098532,0.9999999822533704,17.154997335625627,1.0,0.0016612483145307,83.1273117911685,11.544124031797294,0.0038585255626287
MAHNOB,mahnob_36,MAHNOB,36,P1D_lin,helper_preprocess,dataset/MAHNOB/36/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_36.avi,dataset/MAHNOB/36/obs_p1d_linear.npy,7572,124.1311475409836,61.0,256.0,1.1729773107502977e-17,1.0,0.0426031482355288,0.696123843702932,1.032073210673967,0.0,0.0005379639919322,0.0679954834307154,0.0679954834307154,2.2131147540983607,1.0,0.0547467876653906,0.0547467876653906,2.377049180327869,1.0,0.2,0.1333333333333333,0.0666666666666666,2.743078805616657,1.2769536237948695,0.7317797333580408,0.0065938200612432,0.7743908895030693,0.0696433119078506,491143.8975008047,0.062096717383525,17.154997335625627,1.0,0.0016612483145307,83.1273117911685,11.544124031797294,0.0038585255626287
MAHNOB,mahnob_36,MAHNOB,36,P1D_lin,raw,dataset/MAHNOB/36/P1-Rec1-2009.07.09.17.53.46_C1 trigger _C_Section_36.avi,dataset/MAHNOB/36/obs_p1d_linear.npy,7572,124.1311475409836,61.0,256.0,491024.0758055996,10848.33525614414,491050.0,61.0,90.4386,0.0,0.0471407549169834,0.0091068492634508,0.0091068492634508,-0.4754098360655737,-1.0,0.0172972260743704,0.0172972260743704,-0.6557377049180327,1.0,0.4666666666666667,0.1333333333333333,0.3333333333333333,1049774.8432751084,1.629120094606256,0.0,3.2693919360363893e-05,0.001781125057063,0.9973306559700996,0.0,1.0,17.154997335625627,1.0,0.0016612483145307,83.1273117911685,11.544124031797294,0.0038585255626287
