dataset,family,variant,method,source_layer,rate_source,rate_MAE,rate_RMSE,rate_PearsonR,rate_N,waveform_CCC,waveform_MAE,waveform_DTW,waveform_N,strict_CCC,strict_MAE,strict_RMSE,strict_DTW,strict_NMAE_span,strict_NRMSE_span,strict_NDTW_span,strict_N,cycle_ppi_mae_s,cycle_ie_abs_err,diag_NIS_Mean,diag_NIS_InBand,diag_Lambda_Mean,diag_Stability_Sec,diag_N
MAHNOB,OF_bridge,family_PARH,of_disp_bridge__parh_ossm,20260409_mahnob_allfamily_full_dataset,track_hz,4.9400,5.4800,-0.0300,525,0.4161,0.9350,0.6547,490,0.0000,916.2478,1331.2438,897.3851,0.1872,0.2658,0.1794,525,1.7586,0.3578,0.9395,0.9531,1.0248,18.7049,525
MAHNOB,DoF,Base,DoF,20260409_mahnob_allfamily_full_dataset,signal_spectral,5.4200,6.6300,-0.0500,525,0.4011,0.7924,0.5585,525,-0.0004,995.5045,1434.1923,755.2080,0.2060,0.2862,0.1555,525,1.4783,0.3194,,,,,525
MAHNOB,DoF,OSSM-KF,dof__kfstd,20260409_mahnob_allfamily_full_dataset,track_hz,2.9700,3.5200,-0.1700,525,0.4264,0.7890,0.5580,525,0.0000,915.7365,1331.3140,897.3390,0.1872,0.2658,0.1794,525,1.4615,0.3213,,,,117.9505,525
MAHNOB,DoF,family_PARH,dof__parh_ossm,20260409_mahnob_allfamily_full_dataset,track_hz,2.9300,3.4800,-0.0800,525,0.4001,0.8033,0.5706,525,0.0000,915.7742,1331.3149,897.3373,0.1872,0.2658,0.1794,525,1.3583,0.3139,0.9493,0.9434,1.0323,117.9505,525
MAHNOB,DoF_bridge,Base,dof_disp_bridge,20260409_mahnob_allfamily_full_dataset,signal_spectral,5.1700,6.4100,-0.0600,525,0.3938,0.9567,0.7035,525,0.0000,916.1782,1331.2685,897.3254,0.1872,0.2658,0.1794,525,1.2362,0.3561,,,,,525
MAHNOB,DoF_bridge,OSSM-KF,dof_disp_bridge__kfstd,20260409_mahnob_allfamily_full_dataset,track_hz,2.8700,3.4500,-0.0600,525,0.3485,0.9216,0.6742,525,0.0000,916.1938,1331.2345,897.1933,0.1872,0.2658,0.1794,525,1.1735,0.2875,,,,117.9505,525
MAHNOB,DoF_bridge,family_PARH,dof_disp_bridge__parh_ossm,20260409_mahnob_allfamily_full_dataset,track_hz,2.8000,3.3800,-0.0200,525,0.3309,0.9280,0.6860,525,0.0000,916.1902,1331.2335,897.1943,0.1872,0.2658,0.1794,525,1.1433,0.2843,0.9208,0.9470,1.0315,117.9505,525
MAHNOB,P1D_lin,Base,profile1D linear,20260409_mahnob_allfamily_full_dataset,signal_spectral,6.3600,7.7400,-0.0200,488,0.3562,0.9116,0.6089,488,0.0020,1252.6170,1825.1082,926.5656,0.2371,0.3374,0.1714,488,1.6752,0.4029,,,,,488
MAHNOB,P1D_lin,OSSM-KF,profile1d_linear__kfstd,20260409_mahnob_allfamily_full_dataset,track_hz,3.7600,4.4000,-0.0450,488,0.3419,0.9206,0.6517,488,0.0000,908.5176,1325.7655,894.1747,0.1866,0.2670,0.1792,488,1.4353,0.3459,,,,117.9671,488
MAHNOB,P1D_lin,family_PARH,profile1d_linear__parh_ossm,20260409_mahnob_allfamily_full_dataset,track_hz,3.6800,4.3450,0.0400,488,0.3212,0.9346,0.6650,488,0.0000,908.5224,1325.7540,894.1727,0.1866,0.2670,0.1792,488,1.3895,0.3232,0.9438,0.9356,1.0384,117.9671,488
MAHNOB,P1D_quad,Base,profile1D quadratic,20260409_mahnob_allfamily_full_dataset,signal_spectral,6.6000,8.0250,-0.0300,488,0.3522,0.9116,0.6020,488,0.0007,1255.4977,1812.1331,933.8546,0.2363,0.3384,0.1719,488,1.6851,0.3888,,,,,488
MAHNOB,P1D_quad,OSSM-KF,profile1d_quadratic__kfstd,20260409_mahnob_allfamily_full_dataset,track_hz,4.3250,4.9100,-0.0200,488,0.3453,0.9105,0.6398,488,0.0000,908.5173,1325.7497,894.1736,0.1866,0.2669,0.1792,488,1.4037,0.3395,,,,117.9671,488
MAHNOB,P1D_quad,family_PARH,profile1d_quadratic__parh_ossm,20260409_mahnob_allfamily_full_dataset,track_hz,3.4000,4.0450,-0.0150,488,0.3346,0.9190,0.6504,488,0.0000,908.5180,1325.7484,894.1748,0.1866,0.2669,0.1792,488,1.3714,0.3385,0.9459,0.9433,1.0238,117.9671,488
MAHNOB,P1D_cub,Base,profile1D cubic,20260409_mahnob_allfamily_full_dataset,signal_spectral,6.5350,8.0450,-0.0350,488,0.3575,0.9105,0.6022,488,0.0006,1255.4300,1823.4143,938.2690,0.2367,0.3386,0.1721,488,1.6885,0.3908,,,,,488
MAHNOB,P1D_cub,OSSM-KF,profile1d_cubic__kfstd,20260409_mahnob_allfamily_full_dataset,track_hz,4.3400,4.9150,-0.0100,488,0.3423,0.9153,0.6455,488,0.0000,908.5181,1325.7594,894.1742,0.1866,0.2669,0.1792,488,1.4020,0.3463,,,,117.9671,488
MAHNOB,P1D_cub,family_PARH,profile1d_cubic__parh_ossm,20260409_mahnob_allfamily_full_dataset,track_hz,3.4400,4.0150,0.0200,488,0.3330,0.9187,0.6519,488,0.0000,908.5188,1325.7573,894.1754,0.1866,0.2669,0.1792,488,1.3456,0.3326,0.9460,0.9440,1.0237,117.9671,488
MAHNOB,P1D_cons,Base,profile1d_consensus,20260409_mahnob_allfamily_full_dataset,signal_spectral,5.7500,6.9900,-0.0200,488,0.3739,0.9070,0.6213,488,0.0000,908.5165,1325.6539,894.1710,0.1866,0.2669,0.1792,488,1.4908,0.3573,,,,,488
MAHNOB,P1D_cons,OSSM-KF,profile1d_consensus__kfstd,20260409_mahnob_allfamily_full_dataset,track_hz,3.3200,3.8900,0.0000,488,0.3550,0.9132,0.6501,488,0.0000,908.5149,1325.7693,894.1711,0.1866,0.2670,0.1792,488,1.3944,0.3323,,,,117.9671,488
MAHNOB,P1D_cons,family_PARH,profile1d_consensus__parh_ossm,20260409_mahnob_allfamily_full_dataset,track_hz,3.4000,3.9850,-0.0350,488,0.3538,0.9121,0.6498,488,0.0000,908.5144,1325.7679,894.1738,0.1866,0.2670,0.1792,488,1.3513,0.3226,0.9303,0.9556,1.0174,117.9671,488
MAHNOB,PARH-OSSM,PARH-OSSM,parh_ossm,final_full_validation/mahnob_tailaligned,track_hz,2.4100,2.9200,0.2300,525,0.3417,0.9103,0.6607,525,0.0000,1354.2345,3122.7410,1349.6427,0.2580,0.5073,0.2568,525,1.4798,0.2687,0.9871,1.0000,1.0667,90.3770,525
