method,trial,n_frames,kurtosis,t_aic_delta,t_fit_nu,hill_alpha,shapiro_pval,nis_mean,lambda_mean,lambda_lt1_frac,lambda_low_frac,fail_total
of_farneback__robust_ossm_ekf,22_3,1211,0.3786811352734598,0.050395532409538646,48.41884025170961,4.261897180596226,8.471510435518613e-06,0.15364789216843705,1.2030941171911715,0.004128819157720892,0.0,0.0
of_farneback__robust_ossm_ekf,23_0,1208,-0.8037288404772007,-4.828704647173936,172.40618176469295,6.529070853836895,2.0128742260691247e-11,0.06885503666002227,1.2268792552198766,0.0,0.0,0.0
of_farneback__robust_ossm_ekf,23_1,1210,-0.14703412392032922,-3.095048156027161,100.00000389653555,5.250270541181441,1.2139285362178784e-06,0.07336622843837262,1.2258158949891593,0.0,0.0,0.0
of_farneback__robust_ossm_ekf,23_2,1208,0.9610264950071223,15.310768416535666,13.792273460059164,3.6049981329460854,1.5302600779005824e-11,0.08029654512214585,1.2243961548696587,0.005794701986754967,0.0,0.0
of_farneback__robust_ossm_ekf,23_3,1207,2.448510157553632,87.69754993893912,5.334982426962347,2.5965215707201166,4.623777637342084e-15,0.17569087961137175,1.2018411299775906,0.03396851698425849,0.0,0.03893951946975974
of_farneback__robust_ossm_ekf,24_0,1209,0.6524059816712304,17.59060954281631,8.666425386159466,3.986026783075468,7.018261273886609e-07,0.0538675544248538,1.232153196878665,0.0,0.0,0.0
of_farneback__robust_ossm_ekf,24_1,1207,1.0919349121275053,41.10614106423566,5.545930750019437,3.29413457319758,7.998876480672539e-13,0.11331239462625022,1.2155075828000648,0.00579950289975145,0.0,0.010770505385252692
of_farneback__robust_ossm_ekf,24_2,1212,-0.40892984870435223,-4.176429930463314,118.15279230338935,5.9975357268492075,5.0107469053903913e-08,0.043559466954072416,1.235129411745655,0.0,0.0,0.0
of_farneback__robust_ossm_ekf,24_3,1208,1.5689263439501655,33.38610511041915,8.24209196713998,4.602566130258783,3.886276500926336e-11,0.06591386935829954,1.228759802343453,0.0008278145695364238,0.0,0.0
of_farneback__robust_ossm_ekf,25_0,1233,0.4914478155197899,7.425258951765954,14.529522673826332,4.66246038226494,7.293849247133523e-08,0.3567014252922024,1.1595829203629173,0.10543390105433902,0.0,0.1030008110300081
of_farneback__robust_ossm_ekf,25_1,1218,0.12335151843113934,-1.4476378697772816,61.56163657041886,4.664595659825935,4.433720900105899e-05,0.4956319336615408,1.1313880308709208,0.13628899835796388,0.0,0.06978653530377668
of_farneback__robust_ossm_ekf,25_2,1240,0.5090662228030394,7.237378503796208,15.300726965172768,5.591524890213845,5.146777641878112e-09,0.5466363375046192,1.1255611394771146,0.19274193548387097,0.0,0.20241935483870968
of_farneback__robust_ossm_ekf,25_3,1227,7.895675609992972,239.55046897317152,4.066909176279867,2.708008281623209,1.3770055430501647e-25,0.9749316356857862,1.0995190366426018,0.22330888345558272,0.009779951100244499,0.09290953545232274
